date | value
2020-01-01 | 10.5
2020-01-02 | 42
2020-01-03 | 3.14
2020-01-04 | 99
2020-01-05 | 500
2020-01-06 | 12
2020-01-07 | 0.5
2020-01-08 | 87
2020-01-09 | 23
2020-01-10 | 450
2020-01-11 | 999.9
2020-01-12 | 1
2020-01-13 | 75
2020-01-14 | 16
2020-01-15 | 32
2020-01-16 | 67
2020-01-17 | 101
2020-01-18 | 88.8
2020-01-19 | 230
2020-01-20 | 12.75
2020-01-21 | 345
2020-01-22 | 78
2020-01-23 | 6.6
2020-01-24 | 480
2020-01-25 | 912
2020-01-26 | 47
2020-01-27 | 53
2020-01-28 | 72
2020-01-29 | 0.99
2020-01-30 | 8
2021-01-01 | 123
2021-01-02 | 456
2021-01-03 | 789
2021-01-04 | 321
2021-01-05 | 654
2021-01-06 | 987
2021-01-07 | 111
2021-01-08 | 222
2021-01-09 | 333
2021-01-10 | 444
2021-01-11 | 555
2021-01-12 | 666
2021-01-13 | 777
2021-01-14 | 888
2021-01-15 | 999
2021-01-16 | 12
2021-01-17 | 24
2021-01-18 | 36
2021-01-19 | 48
2021-01-20 | 60
2021-01-21 | 72
2021-01-22 | 84
2021-01-23 | 96
2021-01-24 | 108
2021-01-25 | 120
2021-01-26 | 132
2021-01-27 | 144
2021-01-28 | 156
2021-01-29 | 168
2021-01-30 | 180
2022-01-01 | 10
2022-01-02 | 20
2022-01-03 | 30
2022-01-04 | 40
2022-01-05 | 50
2022-01-06 | 60
2022-01-07 | 70
2022-01-08 | 80
2022-01-09 | 90
2022-01-10 | 100
2022-01-11 | 110
2022-01-12 | 120
2022-01-13 | 130
2022-01-14 | 140
2022-01-15 | 150
2022-01-16 | 160
2022-01-17 | 170
2022-01-18 | 180
2022-01-19 | 190
2022-01-20 | 200
2022-01-21 | 210
2022-01-22 | 220
2022-01-23 | 230
2022-01-24 | 240
2022-01-25 | 250
2022-01-26 | 260
2022-01-27 | 270
2022-01-28 | 280
2022-01-29 | 290
2022-01-30 | 300
2023-01-01 | 15
2023-01-02 | 25
2023-01-03 | 35
2023-01-04 | 45
2023-01-05 | 55
2023-01-06 | 65
2023-01-07 | 75
2023-01-08 | 85
2023-01-09 | 95
2023-01-10 | 105
2023-01-11 | 115
2023-01-12 | 125
2023-01-13 | 135
2023-01-14 | 145
2023-01-15 | 155
2023-01-16 | 165
2023-01-17 | 175
2023-01-18 | 185
2023-01-19 | 195
2023-01-20 | 205
2023-01-21 | 215
2023-01-22 | 225
2023-01-23 | 235
2023-01-24 | 245
2023-01-25 | 255
2023-01-26 | 265
2023-01-27 | 275
2023-01-28 | 285
2023-01-29 | 295
2023-01-30 | 305
